"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10712","Тест кнопки","Surefire suite","Fri Jul 24 11:36:02 UTC 2026","passed","Fri Jul 24 11:36:13 UTC 2026","tests.CartTest","Surefire test","tests.CartTest","checkRemoveButton"
"","630","Тест кнопки","Surefire suite","Fri Jul 24 11:35:56 UTC 2026","passed","Fri Jul 24 11:35:57 UTC 2026","tests.CartTest","Surefire test","tests.CartTest","checkCheckoutButton"
"","656","Тест кнопки","Surefire suite","Fri Jul 24 11:36:14 UTC 2026","passed","Fri Jul 24 11:36:14 UTC 2026","tests.CartTest","Surefire test","tests.CartTest","checkContinueShoppingButton"
"","1","checkLocator","Surefire suite","Fri Jul 24 11:35:43 UTC 2026","unknown","Fri Jul 24 11:35:43 UTC 2026","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка нажатия кнопки 'Add to Cart'","582","Тест кнопки 'Add To Cart'","Surefire suite","Fri Jul 24 11:35:54 UTC 2026","passed","Fri Jul 24 11:35:54 UTC 2026","tests.ProductsTest","Surefire test","tests.ProductsTest","checkAddToCartButton"
"","880","Тест карзины","Surefire suite","Fri Jul 24 11:36:00 UTC 2026","passed","Fri Jul 24 11:36:01 UTC 2026","tests.CartTest","Surefire test","tests.CartTest","checkCheckoutYourInformationFields"
"Проверка логина с пустыми полями 'Логин' и 'Пароль'","412","Негативный тест","Surefire suite","Fri Jul 24 11:36:16 UTC 2026","passed","Fri Jul 24 11:36:17 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyFields"
"Проверка логина с 1 символом в поле 'Пароль'","454","Негативный тест","Surefire suite","Fri Jul 24 11:36:17 UTC 2026","passed","Fri Jul 24 11:36:18 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkPasswordWithOneDigit"
"Проверка нажатия кнопки 'Корзина'","1443","Тест кнопки 'Cart'","Surefire suite","Fri Jul 24 11:35:51 UTC 2026","passed","Fri Jul 24 11:35:52 UTC 2026","tests.ProductsTest","Surefire test","tests.ProductsTest","checkCartButton"
"","880","Тест карзины","Surefire suite","Fri Jul 24 11:35:58 UTC 2026","passed","Fri Jul 24 11:35:59 UTC 2026","tests.CartTest","Surefire test","tests.CartTest","checkCheckoutYourInformationFields"
"Проверка логина с пустым полем 'Логин'","439","Негативный тест","Surefire suite","Fri Jul 24 11:36:16 UTC 2026","passed","Fri Jul 24 11:36:16 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyLogin"
"","659","Тест карзины","Surefire suite","Fri Jul 24 11:35:55 UTC 2026","passed","Fri Jul 24 11:35:55 UTC 2026","tests.CartTest","Surefire test","tests.CartTest","checkCartContainsProduct"
"","879","Тест карзины","Surefire suite","Fri Jul 24 11:35:57 UTC 2026","passed","Fri Jul 24 11:35:58 UTC 2026","tests.CartTest","Surefire test","tests.CartTest","checkCheckoutYourInformationFields"
"Проверка логина с пустым полем 'Пароль'","439","Негативный логин","Surefire suite","Fri Jul 24 11:36:15 UTC 2026","passed","Fri Jul 24 11:36:15 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка нажатия кнопки 'Remove'","653","Тест кнопки 'Remove'","Surefire suite","Fri Jul 24 11:35:53 UTC 2026","passed","Fri Jul 24 11:35:53 UTC 2026","tests.ProductsTest","Surefire test","tests.ProductsTest","checkRemoveButton"
"Проверка успешного логина","483","Удачный логин","Surefire suite","Fri Jul 24 11:36:18 UTC 2026","passed","Fri Jul 24 11:36:19 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"","876","Тест карзины","Surefire suite","Fri Jul 24 11:36:01 UTC 2026","passed","Fri Jul 24 11:36:02 UTC 2026","tests.CartTest","Surefire test","tests.CartTest","checkCheckoutYourInformationFields"
